"N","age","beta_true","mean_unpen","sd_unpen","bias_unpen","mean_pen","sd_pen","bias_pen","snap_rate"
2e+05,"30-34",0.0468341571333686,0.0474152379831228,0.025571700628599,0.000581080849754223,0.0481793558306765,0.0165902661923605,0.0013451986973079,0.37
2e+05,"35-39",0.0394017280956176,0.041681475567087,0.0191926334249001,0.00227974747146945,0.0439311335968716,0.013415713429877,0.004529405501254,0.39
2e+05,"40-44",0.0329677363497863,0.0332638270901212,0.0149293799865913,0.000296090740334945,0.0372079525602511,0.0116856236227768,0.00424021621046487,0.21
2e+05,"45-49",0.025950079978389,0.028945958181444,0.0158099503686523,0.00299587820305499,0.0321017833484558,0.0128673945530063,0.00615170337006687,0.09
2e+05,"50-54",0.0287499471299496,0.0300401455974738,0.0115430275021347,0.00129019846752421,0.0327110781159358,0.0103101693725389,0.00396113098598622,0.07
2e+05,"55-59",0.0445772840877155,0.04408877163963,0.0130706372936984,-0.000488512448085454,0.044329748611535,0.00981953154910392,-0.000247535476180463,0.18
2e+05,"60-64",0.0562673346856074,0.0568800530673706,0.0125520209492312,0.000612718381763293,0.055160737009145,0.00915199222314894,-0.00110659767646239,0.04
2e+05,"65-69",0.0678324947554817,0.0687408333465269,0.0119828432511538,0.000908338591045194,0.0668866275739614,0.00901487744826155,-0.000945867181520302,0.01
2e+05,"70-74",0.0650219890413153,0.0663439442470594,0.0121381944573648,0.0013219552057441,0.0645566487166509,0.00858021702012818,-0.000465340324664401,0
2e+05,"75-79",0.0514850010931134,0.0523492113433013,0.00938792880286821,0.000864210250187902,0.0512705232028412,0.00657280706629947,-0.000214477890272236,0.13
2e+05,"80-84",0.0428678086215171,0.0436523437746485,0.00885226113539898,0.000784535153131406,0.043318738403961,0.00618241985507984,0.000450929782443911,0.16
2e+05,"85-89",0.0324055997576375,0.0322084062903237,0.00738280742807283,-0.000197193467313755,0.0326580294441231,0.00636039155553383,0.000252429686485645,0.01
2e+05,"90-94",0.0223293502930381,0.0233682493179063,0.00841835293384967,0.00103889902486826,0.0244829073976714,0.0074817259488376,0.00215355710463332,0
2e+05,"95-99",0.0127171967751866,0.0144158157608911,0.0144831133006518,0.00169861898570448,0.0189088545857784,0.0134988245440857,0.00619165781059174,0
2e+05,"100+",0.0058094476526544,0.00572763877396403,0.0283521269328146,-8.18088786903697e-05,0.0271564461604774,0.0204794646712674,0.021346998507823,0.29
