"method","MAE","MSE","MAE_h1","MAE_hH","ME_e0","MAE_e0","MAE_edag","drift","sex","start","panel"
"LCedag",0.0965435006575194,0.0179816397053619,0.0605233825817939,0.110014535378817,-0.629053519648713,0.781673689197245,0.0955639315977038,-0.363805119059288,"Male",2001,"M2001"
"MLCedag",0.0942049268852485,0.0171311589249741,0.06151952278528,0.105937548922515,-0.584901069911766,0.743483484946214,0.095534762564947,-0.327471697895935,"Male",2001,"M2001"
"LC",0.14358964323646,0.0309438238872141,0.09111704113379,0.168298541434063,-0.597336097073386,0.787226232763791,0.3157074020467,-0.450252683758068,"Male",1991,"M1991"
"LCP",0.147417080386752,0.0341173966486835,0.101433910951384,0.169876445959738,-0.609009200554757,0.793096192685178,0.219008279953087,-0.447453879519117,"Male",1991,"M1991"
"LM",0.108982708489294,0.0220540199866564,0.0607992923234063,0.129487601701643,-0.72126539115132,0.86173020339802,0.0990744867741579,-0.457561246221604,"Male",1991,"M1991"
"BMS",0.111346578746651,0.0216629869736932,0.0666257818310818,0.130635230022997,-0.685797000402135,0.829123134847993,0.180792989544608,-0.415249717865176,"Male",1991,"M1991"
"LCedag",0.124346349015311,0.0281653147112018,0.0591183018140191,0.158654175946376,-0.903752215610237,1.01955967772975,0.0978377779247712,-0.610570912263618,"Male",1991,"M1991"
"MLCedag",0.110007407450455,0.0226892806669569,0.0615147163425895,0.130990945542562,-0.735934467344515,0.874324958375343,0.0978345359436503,-0.466627419529254,"Male",1991,"M1991"
"LC",0.145352067143066,0.0314310058162243,0.0905939442258832,0.172418634979205,-0.57719444463454,0.776108731619888,0.362755122579849,-0.438913983129964,"Male",1981,"M1981"
"LCP",0.143913172487436,0.0319454601854147,0.0886143611778083,0.169704882245749,-0.565669082291566,0.766444660564463,0.311328679520965,-0.428560108949267,"Male",1981,"M1981"
"LM",0.109876406036303,0.0220488632185037,0.0603741415177,0.13226288632891,-0.726660881477463,0.866476948349666,0.102379175101158,-0.449208227016004,"Male",1981,"M1981"
"BMS",0.111346578746651,0.0216629869736932,0.0666257818310818,0.130635230022997,-0.685797000402135,0.829123134847993,0.180792989544608,-0.415249717865176,"Male",1981,"M1981"
"LCedag",0.132347063261728,0.031872431585541,0.0578900614290986,0.174301403339463,-1.00200228813741,1.10464124995528,0.0982582736311887,-0.674684644257138,"Male",1981,"M1981"
"MLCedag",0.122548381575575,0.0276668475635489,0.0589354671402355,0.155854892968382,-0.888104284055083,1.00606744338285,0.0981227271840087,-0.577549348603974,"Male",1981,"M1981"
"LC",0.135329778262958,0.0286899502023747,0.0804216678942555,0.158040150539564,-0.610224625556378,0.797940697111886,0.217443070688523,-0.417086636617546,"Male",1971,"M1971"
"LCP",0.14540518730987,0.0347690475468062,0.102412086005264,0.154717686541853,-0.565770253142568,0.772541765612743,0.299080931073313,-0.410236881170249,"Male",1971,"M1971"
"LM",0.107824173422638,0.0215242365790752,0.0597545397210519,0.128521314181221,-0.737315215358197,0.875580763786965,0.0980215714222496,-0.424823213806623,"Male",1971,"M1971"
"BMS",0.111346578746651,0.0216629869736932,0.0666257818310818,0.130635230022997,-0.685797000402135,0.829123134847993,0.180792989544608,-0.415249717865176,"Male",1971,"M1971"
"LCedag",0.1124360073472,0.0231641833274257,0.0591159344686519,0.137258545186959,-0.799231041862586,0.929122042842644,0.0975324969702665,-0.472425307276401,"Male",1971,"M1971"
"MLCedag",0.114096250832867,0.0240063372303295,0.057675196383038,0.140622356023301,-0.835424941007489,0.960464123936271,0.0977955470313674,-0.489508266684474,"Male",1971,"M1971"
"LC",0.114147408964746,0.0226912738150705,0.0677275197739314,0.131893878853024,-0.732093128565163,0.856386681484884,0.114981125136667,-0.497429917400292,"Total",2001,"T2001"
"LCP",0.116039274865818,0.023438386508968,0.0712423757954094,0.134826524213028,-0.735956847511446,0.85624390341209,0.12826032047848,-0.485475122827267,"Total",2001,"T2001"
"LM",0.0967182907852985,0.0161544127793522,0.0415303713640737,0.124742459822414,-0.738160684518641,0.860717678664651,0.111016478778791,-0.499191312060015,"Total",2001,"T2001"
"BMS",0.109126211778067,0.0207447487872275,0.0631748175164522,0.131145767490479,-0.701677322146156,0.822186578045614,0.176929939464956,-0.465672146283353,"Total",2001,"T2001"
"LCedag",0.0861697736082205,0.0129678783040663,0.0442396493479645,0.103802414391115,-0.632803654489234,0.769748979054086,0.0953908155615409,-0.407055112162299,"Total",2001,"T2001"
"MLCedag",0.0841182356788271,0.0124812544086135,0.0449084352965695,0.099364200729006,-0.611252455285032,0.751101648865759,0.0958379443925459,-0.38752697204902,"Total",2001,"T2001"
"LC",0.126616860560088,0.0261369031587196,0.0766777548151783,0.149117701516641,-0.66827407776488,0.815171684047601,0.103858637701818,-0.486768799041735,"Total",1991,"T1991"
"LCP",0.131641816106296,0.0294366318396767,0.0865038125403623,0.152538518784977,-0.681807217752569,0.822624234020756,0.0797134615890652,-0.487370009191616,"Total",1991,"T1991"
"LM",0.0956267712950622,0.0160133965438708,0.0415044173146338,0.122080252902549,-0.71979644723645,0.845152532419524,0.0852391904736514,-0.487477601612609,"Total",1991,"T1991"
"BMS",0.109126211778067,0.0207447487872275,0.0631748175164522,0.131145767490479,-0.701677322146156,0.822186578045614,0.176929939464956,-0.465672146283353,"Total",1991,"T1991"
"LCedag",0.0945207683432413,0.0155238625335303,0.0417872988536319,0.120099168287008,-0.713341354748587,0.839590686802836,0.0836021633204297,-0.478760829304226,"Total",1991,"T1991"
"MLCedag",0.0905493808539156,0.0144009788223742,0.0430973428954126,0.111409998307678,-0.664482379419704,0.797288343581576,0.0845265380052709,-0.440075046468092,"Total",1991,"T1991"
"LC",0.126817676580491,0.0242218790381394,0.0760282194635439,0.150989762724163,-0.64968984011866,0.802012654809712,0.115131622211618,-0.468946157130412,"Total",1981,"T1981"
"LCP",0.126476877538025,0.0239434491188885,0.0759865468359399,0.149601389955323,-0.657386949545335,0.805141444213777,0.0956297053091021,-0.462026295633834,"Total",1981,"T1981"
"LM",0.0950150007279635,0.0155542778567212,0.0413364578952855,0.121047518506584,-0.718200020614592,0.843814212450269,0.0829182388132384,-0.475176751455635,"Total",1981,"T1981"
"BMS",0.109126211778067,0.0207447487872275,0.0631748175164522,0.131145767490479,-0.701677322146156,0.822186578045614,0.176929939464956,-0.465672146283353,"Total",1981,"T1981"
"LCedag",0.10795207787158,0.0198503482203605,0.0383199489826028,0.146496864854664,-0.872408594490327,0.97711122049754,0.0966685297727391,-0.594910694201914,"Total",1981,"T1981"
"MLCedag",0.104382499177097,0.0187674068413328,0.0386327237610334,0.139395799098948,-0.836130494712876,0.945698397961206,0.0991829565739536,-0.563666004876766,"Total",1981,"T1981"
"LC",0.122741323161781,0.022700934463531,0.0678721647944994,0.146690365485518,-0.682233032860975,0.819234484117104,0.0823684557287017,-0.459005453446943,"Total",1971,"T1971"
"LCP",0.127304937668114,0.028144046686437,0.0846912081471967,0.14469730481158,-0.708127327574596,0.836542597789196,0.0838269251319719,-0.459389277806001,"Total",1971,"T1971"
"LM",0.0934797515264438,0.0151222859043543,0.0412391390932694,0.118418904012423,-0.70946237704658,0.836168142820415,0.0911690491543055,-0.461596615275697,"Total",1971,"T1971"
"BMS",0.109126211778067,0.0207447487872275,0.0631748175164522,0.131145767490479,-0.701677322146156,0.822186578045614,0.176929939464956,-0.465672146283353,"Total",1971,"T1971"
"LCedag",0.100474475505922,0.0173952395854174,0.0392345135778747,0.131794814292521,-0.798399300736264,0.913004483329991,0.103980649629108,-0.528355158645218,"Total",1971,"T1971"
"MLCedag",0.0989072023064127,0.0171161089730009,0.0394069375668453,0.128740785898885,-0.78450667934097,0.900983016270808,0.102511485844099,-0.511886453268794,"Total",1971,"T1971"
